Date,Open,High,Low,Close,Volume,Adjusted,Symbol,EPS,Dividend
2008-01-02,22.808,23.058,22.253,21.468,20156000,20.509975,MA,3.49,0.054
2008-01-03,22.458,22.509,21.471,21.212,28994000,20.265404,MA,3.49,0.054
2008-01-04,21.439,21.897,20.771,20.118999,38427000,19.221169,MA,3.49,0.054
2008-01-07,21.113,21.142,19.62,20.051001,43861000,19.15621,MA,3.49,0.054
2008-01-08,21.029,21.74,20.514,19.799999,33315000,18.916412,MA,3.49,0.054
2008-01-09,20.605,20.94,19.836,19.658001,38939000,18.794992,MA,3.49,0.06
2008-01-10,19.964,20.793,19.362,19.599001,49088000,18.738571,MA,3.49,0.06
2008-01-11,19.82,19.821,18.434,17.917,114625000,17.130421,MA,3.49,0.06
2008-01-14,18.884,19.025,18.151,17.822001,61119000,17.039589,MA,3.49,0.06
2008-01-15,18.173,18.979,18.046,17.5,48097000,16.73172,MA,3.49,0.06
2008-01-16,18.115,18.813,17.74,17.552999,46756000,16.782398,MA,3.49,0.06
2008-01-17,18.228,18.794,18.228,17.688,43309000,16.911474,MA,3.49,0.06
2008-01-18,18.678,18.8,18.134,17.462,38220000,16.695395,MA,3.49,0.06
2008-01-22,17.154,19.341,16.82,18.216999,52866000,17.417248,MA,3.49,0.06
2008-01-23,18.701,20.424,17.826,19.259001,59780000,18.413504,MA,3.49,0.06
2008-01-24,20.296,20.3,19.342,19.177999,31668000,18.336063,MA,3.49,0.06
2008-01-25,20.24,20.5,19.612,19.343,31981000,18.493813,MA,3.49,0.06
2008-01-28,19.914,20.272,19.275,18.9,33537000,18.070265,MA,3.49,0.06
2008-01-29,19.769,20.127,19.297,19.146,33954000,18.305464,MA,3.49,0.06
2008-01-30,19.878,20.679,19.663,18.9,37193000,18.070265,MA,0.22,0.06
2008-01-31,21.548,22.848,20.877,20.700001,110865000,19.791246,MA,0.36,0.06
2008-02-01,22.034,22.733,21.929,21.542,45387000,20.596275,MA,0.36,0.06
2008-02-04,22.487,23.246,22.415,21.6,35336000,20.651726,MA,0.36,0.06
2008-02-05,22.358,22.591,21.533,20.677999,39437000,19.77021,MA,0.36,0.06
2008-02-06,21.755,21.755,20.798,20.495001,49293000,19.595245,MA,0.36,0.06
2008-02-07,21.129,21.452,20.412,20.087999,38501000,19.20611,MA,0.36,0.06
2008-02-08,21.232,21.608,20.88,20.561001,29215000,19.658346,MA,0.36,0.06
2008-02-11,21.659,21.957,21.207,20.611,22626000,19.706146,MA,0.36,0.06
2008-02-12,21.838,22.443,21.128,20.4,29338000,19.50441,MA,0.36,0.06
2008-02-13,21.588,21.654,21.203,20.476,21069000,19.577082,MA,0.36,0.06
2008-02-14,21.338,21.494,20.617,20.223,26902000,19.335184,MA,0.36,0.06
2008-02-15,20.98,21.646,20.691,20.6,29219000,19.695631,MA,0.36,0.06
2008-02-19,21.756,21.907,21.066,20.42,18023000,19.523535,MA,0.36,0.06
2008-02-20,20.971,21.902,20.849,20.822001,23530000,19.907887,MA,0.36,0.06
2008-02-21,21.572,22.011,21.099,20.448,22454000,19.550303,MA,0.36,0.06
2008-02-22,21.452,21.49,20.709,20.348,49754000,19.454685,MA,0.36,0.06
2008-02-25,21.06,21.128,19.856,19.844999,71620000,18.973774,MA,0.36,0.06
2008-02-26,20.761,21.022,20.177,19.587999,30785000,18.728062,MA,0.36,0.06
2008-02-27,20.291,20.523,19.742,19.118999,32077000,18.279648,MA,0.36,0.06
2008-02-28,19.794,20.62,19.585,19.469999,29401000,18.615242,MA,0.36,0.06
2008-02-29,20.15,20.269,19.833,19,20681000,18.165863,MA,0.36,0.06
2008-03-03,19.695,20.49,19.423,18.856001,28706000,18.028194,MA,0.36,0.06
2008-03-04,19.663,20.23,19.351,19.247,35603000,18.402031,MA,0.36,0.06
2008-03-05,20.16,20.373,19.859,19.1,22551000,18.261484,MA,0.36,0.06
2008-03-06,19.872,19.998,19.771,18.999001,24381000,18.164923,MA,0.36,0.06
2008-03-07,19.619,20.244,19.494,19.250999,46011000,18.405853,MA,0.36,0.06
2008-03-10,20.094,20.496,19.864,19.15,33419000,18.309288,MA,0.36,0.06
2008-03-11,20.385,20.604,19.201,19.584,62841000,18.724237,MA,0.36,0.06
2008-03-12,20.395,21.703,20.312,20.389999,38828000,19.494852,MA,0.36,0.06
2008-03-13,20.813,22.269,20.551,20.972,56327000,20.0513,MA,0.36,0.06
2008-03-14,22.278,22.529,21.337,20.865,43383000,19.948996,MA,0.36,0.06
2008-03-17,21.117,21.624,20.189,20.152,43204000,19.2673,MA,0.36,0.06
